# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.entityStorageSnapshotImpl.instances.count,1765648904966000000,1765648965480000000,2
Indexing.writer_0.totalTimeSpentWritingMs,1765648904966000000,1765648965480000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1765648904966000000,1765648965480000000,0
Indexing.cache.totalCacheAccesses,1765648904966000000,1765648965480000000,0
IndexesFlusher.totalFlushingTimeUs,1765648904966000000,1765648965480000000,471908
IndexesFlusher.totalFlushesRetried,1765648904966000000,1765648965480000000,7
Indexing.writer_3.totalTimeSpentWritingMs,1765648904966000000,1765648965480000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1765648904966000000,1765648965480000000,0
Indexing.writesQueuedAvg,1765648904966000000,1765648965480000000,0.0
Indexing.writesQueuedMin,1765648904966000000,1765648965480000000,0
Indexing.cache.totalCacheMisses,1765648904966000000,1765648965480000000,0
IndexesFlusher.totalFlushes,1765648904966000000,1765648965480000000,122
Indexing.writesQueuedMax,1765648904966000000,1765648965480000000,0
IndexesFlusher.totalContentionQuotaSpent,1765648904966000000,1765648965480000000,430
Indexing.cache.totalCacheEvicted,1765648904966000000,1765648965480000000,0
Indexing.totalTimeIndexersSleptMs,1765648904966000000,1765648965480000000,0
AWTEventQueue.dispatchTimeMaxNs,1765648904966000000,1765648965480000000,0
FlushQueue.waitingTimeAvgNs,1765648904966000000,1765648965480000000,0.0
FlushQueue.executionTimeAvgNs,1765648904966000000,1765648965480000000,0.0
FlushQueue.waitingTimeMaxNs,1765648904966000000,1765648965480000000,0
AWTEventQueue.eventsDispatched,1765648904966000000,1765648965480000000,0
FlushQueue.queueSizeAvg,1765648904966000000,1765648965480000000,0.0
FlushQueue.waitingTime90PNs,1765648904966000000,1765648965480000000,0
FlushQueue.executionTimeMaxNs,1765648904966000000,1765648965480000000,0
AWTEventQueue.dispatchTime90PNs,1765648904966000000,1765648965480000000,0
AWTEventQueue.dispatchTimeTotalNS,1765648904966000000,1765648965480000000,55744850
FlushQueue.executionTime90PNs,1765648904966000000,1765648965480000000,0
FlushQueue.tasksExecuted,1765648904966000000,1765648965480000000,0
WriteAction.executionsCount,1765648904966000000,1765648965480000000,2
ReadAction.executionsCount,1765648904966000000,1765648965480000000,2
FlushQueue.queueSizeMax,1765648904966000000,1765648965480000000,0
FlushQueue.queueSize90P,1765648904966000000,1765648965480000000,0
AWTEventQueue.dispatchTimeAvgNs,1765648904966000000,1765648965480000000,0.0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1765648904966000000,1765648965480000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1765648904966000000,1765648965480000000,0
jps.global.initialize.library.bridges.after.loading.ms,1765648904966000000,1765648965480000000,30
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1765648904966000000,1765648965480000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1765648904966000000,1765648965480000000,0
workspaceModel.mutableEntityStorage.instances.count,1765648904966000000,1765648965480000000,1
workspaceModel.mutableEntityStorage.modify.entity.ms,1765648904966000000,1765648965480000000,0
jps.global.get.library.ms,1765648904966000000,1765648965480000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1765648904966000000,1765648965480000000,0
workspaceModel.global.updates.count,1765648904966000000,1765648965480000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1765648904966000000,1765648965480000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1765648904966000000,1765648965480000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1765648904966000000,1765648965480000000,0
workspaceModel.mutableEntityStorage.entities.ms,1765648904966000000,1765648965480000000,19
jps.library.entities.serializer.save.entities.ms,1765648904966000000,1765648965480000000,0
jps.library.entities.serializer.load.entities.ms,1765648904966000000,1765648965480000000,2
workspaceModel.mutableEntityStorage.resolve.ms,1765648904966000000,1765648965480000000,0
jps.global.get.libraries.ms,1765648904966000000,1765648965480000000,0
jps.load.initial.state.ms,1765648904966000000,1765648965480000000,251
workspaceModel.global.apply.state.to.project.ms,1765648904966000000,1765648965480000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1765648904966000000,1765648965480000000,10
workspaceModel.mutableEntityStorage.replace.by.source.ms,1765648904966000000,1765648965480000000,0
workspaceModel.global.updates.ms,1765648904966000000,1765648965480000000,0
jps.global.handle.before.change.events.ms,1765648904966000000,1765648965480000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1765648904966000000,1765648965480000000,0
workspaceModel.load.cache.metadata.from.file.ms,1765648904966000000,1765648965480000000,0
jps.global.initialize.library.bridges.ms,1765648904966000000,1765648965480000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1765648904966000000,1765648965480000000,0
workspaceModel.save.cache.to.file.ms,1765648904966000000,1765648965480000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1765648904966000000,1765648965480000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1765648904966000000,1765648965480000000,0
